Time(ms) Command-Position Actual-Position Following-Error
0.00000000000000000 231.86577287916100000 231.85734361410100000 0.00842926505998776
0.19965061142999800 231.87831696804400000 231.85538679361300000 0.02293017443028590
0.39930122285999600 231.89085908298400000 231.85818403959300000 0.03267504339100920
0.59895183428999400 231.90339725035000000 231.85959801077800000 0.04379923957137070
0.79860244571999200 231.91592949713100000 231.86203569173800000 0.05389380539327250
0.99825305714999000 231.92845385125000000 231.86655029654500000 0.06190355470468490
1.19790366857999000 231.94096834186800000 231.86952382326100000 0.07144451860665410
1.39755428000999000 231.95347099970100000 231.87452048063300000 0.07895051906851340
1.59720489143998000 231.96595985732700000 231.88250407576600000 0.08345578156155400
1.79685550286998000 231.97843294949400000 231.89320802688600000 0.08522492260846090
1.99650611429998000 231.99088831343300000 231.90981954336200000 0.08106877007122650
2.19615672572998000 232.00332398916200000 231.92723244428600000 0.07609154487565210
2.39580733715998000 232.01573801979900000 231.94421678781500000 0.07152123198432040
2.59545794858997000 232.02812845186900000 231.96079447865500000 0.06733397321397660
2.79510856001997000 232.04049333560700000 231.97927549481400000 0.06121784079354600
2.99475917144997000 232.05283072527300000 231.99833467602700000 0.05449604924550040
3.19440978287997000 232.06513867944900000 232.01905041933100000 0.04608826011818220
3.39406039430997000 232.07741526135100000 232.03897327184700000 0.03844198950460510
3.59371100573996000 232.08965853913300000 232.06273421645200000 0.02692432268159450
3.79336161716996000 232.10186658618800000 232.08540365099900000 0.01646293518879820
3.99301222859996000 232.11403748145300000 232.10820361971900000 0.00583386173406097
4.19266284002996000 232.12616930971100000 232.12767273187600000 -0.00150342216537069
4.39231345145996000 232.13826016189400000 232.14752033352900000 -0.00926017163422443
4.59196406288995000 232.15030813538200000 232.16426774859400000 -0.01395961321264850
4.79161467431995000 232.16231133430000000 232.18160778284100000 -0.01929644854109820
4.99126528574995000 232.17426786982100000 232.20062404871000000 -0.02635617888924460
5.19091589717995000 232.18617586046000000 232.21658274531400000 -0.03040688485370420
5.39056650860995000 232.19803343237200000 232.23546355962800000 -0.03743012725564650
5.59021712003994000 232.20983871964500000 232.25013628602000000 -0.04029756637552850
5.78986773146994000 232.22158986459400000 232.26439401507400000 -0.04280415047946920
5.98951834289994000 232.23328501805600000 232.27941200137100000 -0.04612698331519030
6.18916895432994000 232.24492233967700000 232.29511901736300000 -0.05019667768567620
6.38881956575994000 232.25649999820300000 232.30916023254400000 -0.05266023434057840
6.58847017718993000 232.26801617177100000 232.32282057404500000 -0.05480440227407260
6.78812078861993000 232.27946904819100000 232.33269602060300000 -0.05322697241226140
6.98777140004993000 232.29085682523400000 232.34483748674400000 -0.05398066150979730
7.18742201147993000 232.30217771091600000 232.35675752162900000 -0.05457981071330660
7.38707262290993000 232.31342992377800000 232.36504048109100000 -0.05161055731247190
7.58672323433992000 232.32461169316800000 232.37458154559100000 -0.04996985242337360
7.78637384576992000 232.33572125951900000 232.38412782549900000 -0.04840656598000240
7.98602445719992000 232.34675687462500000 232.39139080047600000 -0.04463392585154220
8.18567506862992000 232.35771680191700000 232.40114927291900000 -0.04343247100121060
8.38532568005992000 232.36859931673900000 232.41089820861800000 -0.04229889187874390
8.58497629148991000 232.37940270661400000 232.41949439048800000 -0.04009168387378280
8.78462690291991000 232.39012527151600000 232.42818370461500000 -0.03805843309902460
8.98427751434991000 232.40076532413800000 232.43810385465600000 -0.03733853051824100
9.18392812577991000 232.41132119015900000 232.44800373911900000 -0.03668254896007280
9.38357873720991000 232.42179120850200000 232.45559647679300000 -0.03380526829096200
9.58322934863990000 232.43217373160400000 232.46222913265200000 -0.03005540104859960
9.78287996006990000 232.44246712566500000 232.47142121195800000 -0.02895408629296980
9.98253057149990000 232.45266977091400000 232.47951820492700000 -0.02684843401337390
10.18218118292990000 232.46278006185900000 232.48776122927700000 -0.02498116741759300
10.38183179435990000 232.47279640754100000 232.49270603060700000 -0.01990962306621210
10.58148240578990000 232.48271723178400000 232.50036537647200000 -0.01764814468833720
10.78113301721990000 232.49254097344400000 232.50707268714900000 -0.01453171370502560
10.98078362864990000 232.50226608665300000 232.51405745744700000 -0.01179137079390100
11.18043424007990000 232.51189104106400000 232.51900941133500000 -0.00711837027068896
11.38008485150990000 232.52141432209100000 232.52783134579700000 -0.00641702370540997
11.57973546293990000 232.53083443114700000 232.53789886832200000 -0.00706443717550087
11.77938607436990000 232.54014988588000000 232.54566982388500000 -0.00551993800530681
11.97903668579990000 232.54935922040600000 232.55020052194600000 -0.00084130153965134
12.17868729722990000 232.55846098554300000 232.55635425448400000 0.00210673105846126
12.37833790865990000 232.56745374903200000 232.56513744592700000 0.00231630310494779
12.57798852008990000 232.57633609576900000 232.57174462080000000 0.00459147496877677
12.77763913151990000 232.58510662802500000 232.57522210478800000 0.00988452323710476
12.97728974294990000 232.59376396566600000 232.58156925439800000 0.01219471126756840
13.17694035437990000 232.60230674637000000 232.59397223591800000 0.00833451045198785
13.37659096580990000 232.61073362584200000 232.60503560304600000 0.00569802279585474
13.57624157723990000 232.61904327802600000 232.61372864246400000 0.00531463556217204
13.77589218866990000 232.62723439531100000 232.62140154838600000 0.00583284692535813
13.97554280009990000 232.63530568874000000 232.63043239712700000 0.00487329161333605
14.17519341152990000 232.64325588821300000 232.64184802770600000 0.00140786050661745
14.37484402295990000 232.65108374268200000 232.65086054801900000 0.00022319466219756
14.57449463438990000 232.65878802035300000 232.65996754169500000 -0.00117952134161214
14.77414524581990000 232.66636750887900000 232.66916021704700000 -0.00279270816756139
