Peak Magnitude = 5.15 counts.	Peak Time = 17.71 ms.	
Rise Time = 8.41 ms.Overshoot = 3.5 %.	Damping Ratio = 0.73 .	
Natural Frequency = 42.70 Hz.	Settling Time = 12.77 ms.	
Time(ms) Command-Position Actual-Position Servo-Command
0.00000000000000000 237.20150756642300000 232.21818119287500000 643.47204589843800000
0.44274211000000000 237.20150756642300000 232.21574485302000000 1243.52539062500000000
0.88548422000000000 237.20150756642300000 232.22266212105800000 1835.79968261719000000
1.32822633000000000 237.20150756642300000 232.25184783339500000 2408.99047851563000000
1.77096844000000000 237.20150756642300000 232.32079640030900000 2946.44726562500000000
2.21371055000000000 237.20150756642300000 232.41797924041700000 3454.30029296875000000
2.65645266000000000 237.20150756642300000 232.53970801830300000 3931.53637695313000000
3.09919477000000000 237.20150756642300000 232.69289240241100000 4369.11767578125000000
3.54193688000000000 237.20150756642300000 232.87465929985000000 4766.15185546875000000
3.98467899000000000 237.20150756642300000 233.07206079363800000 5129.98925781250000000
4.42742110000000000 237.20150756642300000 233.28470632433900000 5458.24316406250000000
4.87016321000000000 237.20150756642300000 233.52024003863300000 5742.58447265625000000
5.31290532000000000 237.20150756642300000 233.76273840665800000 5994.25000000000000000
5.75564743000000000 237.20150756642300000 234.00795847177500000 6214.96337890625000000
6.19838954000000000 237.20150756642300000 234.25889596343000000 6401.58447265625000000
6.64113165000000000 237.20150756642300000 234.50569868087800000 6561.96679687500000000
7.08387376000000000 237.20150756642300000 234.74624693393700000 6697.76171875000000000
7.52661587000000000 237.20150756642300000 234.98319521546400000 6807.33349609375000000
7.96935798000000000 237.20150756642300000 235.21211072802500000 6895.04101562500000000
8.41210009000000000 237.20150756642300000 235.43124735355400000 6963.03955078125000000
8.85484220000000000 237.20150756642300000 235.64017042517700000 7012.75683593750000000
9.29758431000000000 237.20150756642300000 235.83849787712100000 7045.71386718750000000
9.74032642000000000 237.20150756642300000 236.02360665798200000 7065.37939453125000000
10.18306853000000000 237.20150756642300000 236.19884058833100000 7070.33642578125000000
10.62581064000000000 237.20150756642300000 236.36039987206500000 7065.20605468750000000
11.06855275000000000 237.20150756642300000 236.50597512722000000 7053.33789062500000000
11.51129486000000000 237.20150756642300000 236.63690909743300000 7035.36328125000000000
11.95403697000000000 237.20150756642300000 236.75558865070300000 7011.10400390625000000
12.39677908000000000 237.20150756642300000 236.86191812157600000 6982.26757812500000000
12.83952119000000000 237.20150756642300000 236.95582315325700000 6950.39208984375000000
13.28226330000000000 237.20150756642300000 237.03724846243900000 6917.01074218750000000
13.72500541000000000 237.20150756642300000 237.10615605115900000 6883.64990234375000000
14.16774752000000000 237.20150756642300000 237.16481164097800000 6849.88964843750000000
14.61048963000000000 237.20150756642300000 237.21529379487000000 6815.34716796875000000
15.05323174000000000 237.20150756642300000 237.25607454776800000 6782.43310546875000000
15.49597385000000000 237.20150756642300000 237.28919923305500000 6750.47900390625000000
15.93871596000000000 237.20150756642300000 237.31310889124900000 6721.85791015625000000
16.38145807000000000 237.20150756642300000 237.33325317502000000 6692.95751953125000000
16.82420018000000000 237.20150756642300000 237.34774410724600000 6666.18359375000000000
17.26694229000000000 237.20150756642300000 237.36058235168500000 6638.70312500000000000
17.70968440000000000 237.20150756642300000 237.36397728323900000 6617.57324218750000000
18.15242651000000000 237.20150756642300000 237.36340880394000000 6598.77880859375000000
18.59516862000000000 237.20150756642300000 237.35930562019300000 6582.78906250000000000
19.03791073000000000 237.20150756642300000 237.35205978155100000 6569.72412109375000000
19.48065284000000000 237.20150756642300000 237.34088525176000000 6560.65136718750000000
19.92339495000000000 237.20150756642300000 237.32735440135000000 6554.66064453125000000
20.36613706000000000 237.20150756642300000 237.30832487344700000 6554.79736328125000000
20.80887917000000000 237.20150756642300000 237.28894010186200000 6557.16113281250000000
21.25162128000000000 237.20150756642300000 237.27046206593500000 6561.06054687500000000
21.69436339000000000 237.20150756642300000 237.25175037980100000 6567.43359375000000000
22.13710550000000000 237.20150756642300000 237.23290547728500000 6576.14990234375000000
22.57984761000000000 237.20150756642300000 237.21401676535600000 6587.15576171875000000
23.02258972000000000 237.20150756642300000 237.19630733132400000 6599.42675781250000000
23.46533183000000000 237.20150756642300000 237.17631325125700000 6615.83496093750000000
23.90807394000000000 237.20150756642300000 237.15544834733000000 6635.23095703125000000
24.35081605000000000 237.20150756642300000 237.13729128241500000 6654.78076171875000000
24.79355816000000000 237.20150756642300000 237.12396085262300000 6672.59765625000000000
25.23630027000000000 237.20150756642300000 237.10937395691900000 6693.39160156250000000
25.67904238000000000 237.20150756642300000 237.09712997078900000 6713.87011718750000000
26.12178449000000000 237.20150756642300000 237.08478957414600000 6736.05224609375000000
26.56452660000000000 237.20150756642300000 237.07241237163500000 6759.73974609375000000
27.00726871000000000 237.20150756642300000 237.05890640616400000 6785.86621093750000000
27.45001082000000000 237.20150756642300000 237.04556331038500000 6813.40185546875000000
27.89275293000000000 237.20150756642300000 237.03928217291800000 6836.56787109375000000
28.33549504000000000 237.20150756642300000 237.03376710414900000 6860.29785156250000000
28.77823715000000000 237.20150756642300000 237.02898785471900000 6884.11669921875000000
29.22097926000000000 237.20150756642300000 237.02262625098200000 6909.89648437500000000
29.66372137000000000 237.20150756642300000 237.01828762888900000 6934.62353515625000000
30.10646348000000000 237.20150756642300000 237.01468378305400000 6959.38037109375000000
30.54920559000000000 237.20150756642300000 237.01178088784200000 6984.02392578125000000
30.99194770000000000 237.20150756642300000 237.01297938823700000 7005.58691406250000000
31.43468981000000000 237.20150756642300000 237.01451331377000000 7026.98925781250000000
